problem_id,contest_id,problem_index,problem_name,difficulty_rating,tags,problem_type,solved_count,model,model_display,language,source_type,source_index,split,target,hf_source,feature_avgFunctionLength,feature_avgIdentifierLength,feature_avgLineLength,feature_emptyLinesDensity,feature_functionDefinitionDensity,feature_maintainabilityIndex,feature_maxDecisionTokens,feature_whiteSpaceRatio,code_file,loc,char_count,token_count_approx
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,cpp,hf,139496,train,human,cf,1.0,2.5238095238095237,13.11111111111111,0.0,14.11111111111111,10.1848148148148,0.0,0.11315789473684211,code/1381_B/human_cpp.cpp,27,380,44
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,java,hf,148969,train,human,cf,1.0,4.13375796178344,10.79611650485437,0.5533980582524272,0.009708737864077669,31.92521739130436,7.0,0.3014827018121911,code/1381_B/human_java.java,102,1214,177
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,python,hf,149500,train,human,cf,1.0,3.847771236333053,13.287943262411348,0.6226950354609929,0.04539007092198582,0.0,3.0,0.4132247815726767,code/1381_B/human_python.py,705,10072,989
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,java,hf,150893,train,human,cf,1.0,3.820253164556962,9.730666666666666,0.6213333333333333,0.024,20.228873239436627,8.0,0.49018145662440965,code/1381_B/human_java.java,374,4023,383
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,java,hf,152312,train,human,cf,0.0,4.072847682119205,10.927835051546392,0.5567010309278351,0.0,29.364651162790697,7.0,0.3044982698961938,code/1381_B/human_java.java,96,1156,170
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,java,hf,152542,train,human,cf,1.0,3.8161993769470404,11.37914691943128,0.5781990521327014,0.037914691943127965,15.457191011235958,6.0,0.3699731903485255,code/1381_B/human_java.java,211,2611,340
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,cpp,hf,153169,train,human,cf,1.0,3.094536525475752,11.654182272159801,0.533083645443196,12.654182272159801,0.0,0.0,0.3133695115934879,code/1381_B/human_cpp.cpp,801,10135,1434
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,python,hf,156533,train,human,cf,0.0,2.442176870748299,11.347826086956522,0.6231884057971014,0.0,0.799999999999983,0.0,0.38425381903642775,code/1381_B/human_python.py,68,851,97
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,cpp,hf,160143,train,human,cf,1.0,3.022222222222222,8.168067226890756,0.5546218487394958,9.168067226890756,0.0,0.0,0.25871559633027524,code/1381_B/human_cpp.cpp,119,1090,141
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,cpp,hf,161222,train,human,cf,1.0,2.607594936708861,6.854838709677419,0.5161290322580645,7.854838709677419,0.0,0.0,0.3497942386831276,code/1381_B/human_cpp.cpp,62,486,87
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,python,hf,163403,train,human,cf,0.0,2.635135135135135,7.755102040816326,0.4897959183673469,0.0,81.97599999999998,0.0,0.36682242990654207,code/1381_B/human_python.py,49,428,64
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,cpp,hf,164393,train,human,cf,1.0,2.5476190476190474,7.071428571428571,0.5,8.071428571428571,0.0,0.0,0.24168514412416853,code/1381_B/human_cpp.cpp,56,451,42
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,python,hf,167359,train,human,cf,0.0,2.63768115942029,7.333333333333333,0.4888888888888889,0.0,86.44347826086957,0.0,0.32085561497326204,code/1381_B/human_python.py,45,374,35
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,java,hf,168307,train,human,cf,1.0,3.2037037037037037,9.045871559633028,0.5596330275229358,0.01834862385321101,50.41333333333332,7.0,0.3281535648994516,code/1381_B/human_java.java,108,1094,183
1381/B,1381,B,Unmerge,1800.0,dp,PROGRAMMING,9471,human,human,python,hf,168868,train,human,cf,0.0,2.635135135135135,9.03921568627451,0.5098039215686274,0.0,64.71199999999999,0.0,0.46966731898238745,code/1381_B/human_python.py,51,511,74
