problem_id,contest_id,problem_index,problem_name,difficulty_rating,tags,solved_count,codeforces_url,total_samples,models,languages
1778/A,1778,A,Flip Flop Sum,800.0,greedy|implementation,25527,https://codeforces.com/problemset/problem/1778/A,48,codellama|gpt|human|llama3.1,cpp|java|python
1702/A,1702,A,Round Down the Price,800.0,constructive algorithms,37835,https://codeforces.com/problemset/problem/1702/A,48,codellama|gpt|human|llama3.1,cpp|java|python
1612/A,1612,A,Distance,800.0,brute force|constructive algorithms,18152,https://codeforces.com/problemset/problem/1612/A,49,codellama|gpt|human|llama3.1,cpp|java|python
1611/A,1611,A,Make Even,800.0,constructive algorithms|math,33195,https://codeforces.com/problemset/problem/1611/A,48,codellama|gpt|human|llama3.1,cpp|java|python
1523/A,1523,A,Game of Life,800.0,implementation,13793,https://codeforces.com/problemset/problem/1523/A,51,codellama|gpt|human|llama3.1,cpp|java|python
1436/A,1436,A,Reorder,800.0,math,23362,https://codeforces.com/problemset/problem/1436/A,47,codellama|gpt|human|llama3.1,cpp|java|python
1783/A,1783,A,Make it Beautiful,800.0,constructive algorithms|math|sortings,45939,https://codeforces.com/problemset/problem/1783/A,57,codellama|gpt|human|llama3.1,cpp|java|python
1473/A,1473,A,Replacing Elements,800.0,greedy|implementation|math|sortings,36120,https://codeforces.com/problemset/problem/1473/A,48,codellama|gpt|human|llama3.1,cpp|java|python
1487/A,1487,A,Arena,800.0,implementation|sortings,27382,https://codeforces.com/problemset/problem/1487/A,49,codellama|gpt|human|llama3.1,cpp|java|python
1729/B,1729,B,Decode String,800.0,greedy|strings,32256,https://codeforces.com/problemset/problem/1729/B,48,codellama|gpt|human|llama3.1,cpp|java|python
1498/A,1498,A,GCD Sum,800.0,brute force|math,24506,https://codeforces.com/problemset/problem/1498/A,48,codellama|gpt|human|llama3.1,cpp|java|python
1714/C,1714,C,Minimum  Varied Number,800.0,greedy,33003,https://codeforces.com/problemset/problem/1714/C,47,codellama|gpt|human|llama3.1,cpp|java|python
1462/C,1462,C,Unique Number,900.0,brute force|greedy|math,36002,https://codeforces.com/problemset/problem/1462/C,46,codellama|gpt|human|llama3.1,cpp|java|python
1304/B,1304,B,Longest Palindrome,1100.0,brute force|constructive algorithms|greedy|implementation|strings,18677,https://codeforces.com/problemset/problem/1304/B,52,codellama|gpt|human|llama3.1,cpp|java|python
1490/C,1490,C,Sum of Cubes,1100.0,binary search|brute force|brute force|math,38148,https://codeforces.com/problemset/problem/1490/C,49,codellama|gpt|human|llama3.1,cpp|java|python
