Task_ID,Model,Language,Token_Count,Max_Depth
7,Llama 3,Java,176.2,4.9
4,Llama 3,Python,184.7,4.6
8,Claude 3.5,Java,176.6,7.8
5,Llama 3,Java,193.9,4.7
7,GPT-4o,Java,153.7,12.5
10,Claude 3.5,Python,178.5,6.4
3,GPT-4o,Java,123.4,9.6
7,GPT-4o,Python,87.8,11.3
8,Llama 3,Java,218.0,5.7
5,Claude 3.5,Python,98.1,7.0
4,Llama 3,Java,204.2,4.6
8,Llama 3,Python,202.7,5.0
8,Claude 3.5,Python,148.3,11.9
3,GPT-4o,Java,122.2,13.1
6,GPT-4o,Python,108.0,14.3
5,Claude 3.5,Python,176.2,9.5
2,GPT-4o,Java,115.9,12.5
8,Claude 3.5,Python,162.7,8.9
6,Claude 3.5,Python,161.2,9.0
2,Llama 3,Python,154.0,4.3
5,Claude 3.5,Java,134.7,6.9
1,Llama 3,Python,167.1,5.1
10,GPT-4o,Java,100.6,14.5
6,GPT-4o,Python,85.3,15.1
9,GPT-4o,Python,87.6,9.5
1,GPT-4o,Python,99.4,15.9
10,Llama 3,Java,194.5,5.5
3,GPT-4o,Python,92.4,11.8
7,Claude 3.5,Python,149.9,8.1
4,Claude 3.5,Java,122.5,11.4
9,Claude 3.5,Python,150.6,11.2
3,Llama 3,Java,183.6,4.6
5,GPT-4o,Java,123.4,14.1
3,GPT-4o,Python,105.4,8.9
7,GPT-4o,Java,132.9,14.3
5,Llama 3,Python,139.7,4.4
9,Claude 3.5,Java,225.1,7.3
7,Claude 3.5,Java,143.1,4.9
2,GPT-4o,Python,98.1,12.8
4,Claude 3.5,Java,200.5,7.6
9,Claude 3.5,Java,159.7,6.3
2,Llama 3,Java,175.9,5.2
10,Llama 3,Java,208.1,3.6
9,Llama 3,Java,212.1,6.8
10,Llama 3,Python,182.5,5.1
5,GPT-4o,Java,137.8,11.5
2,Llama 3,Python,139.3,4.5
4,Claude 3.5,Java,161.6,4.8
7,GPT-4o,Python,103.6,14.1
8,Claude 3.5,Python,149.2,7.4
3,Claude 3.5,Java,176.5,8.4
1,Claude 3.5,Java,140.9,10.7
4,Llama 3,Java,189.5,2.7
2,Llama 3,Python,205.0,4.0
8,GPT-4o,Java,91.9,10.6
4,GPT-4o,Python,77.6,10.9
2,Llama 3,Python,194.1,6.6
6,Claude 3.5,Python,150.7,9.3
6,GPT-4o,Java,137.0,13.7
10,Llama 3,Java,157.4,4.5
4,Llama 3,Python,178.6,4.2
6,Llama 3,Python,214.3,2.4
2,Claude 3.5,Java,172.0,4.2
10,Llama 3,Python,188.6,4.8
2,Llama 3,Java,206.5,4.5
10,Llama 3,Python,163.3,4.5
4,Llama 3,Java,245.8,4.1
8,GPT-4o,Python,103.1,12.7
7,GPT-4o,Java,116.5,10.2
9,Llama 3,Python,165.3,4.0
8,Claude 3.5,Java,191.8,5.6
5,GPT-4o,Java,106.9,10.5
2,Llama 3,Python,156.9,3.7
5,GPT-4o,Python,99.3,11.0
8,GPT-4o,Java,96.0,10.7
10,Claude 3.5,Python,153.6,5.0
9,Llama 3,Java,219.5,4.9
9,Llama 3,Python,184.5,5.8
1,Claude 3.5,Java,163.8,5.5
9,Claude 3.5,Java,151.1,10.8
7,Llama 3,Java,199.6,5.3
9,Llama 3,Java,179.7,6.4
8,Claude 3.5,Java,152.5,10.3
1,GPT-4o,Java,121.6,10.6
8,GPT-4o,Python,128.7,12.7
8,Claude 3.5,Python,143.9,8.6
3,GPT-4o,Python,109.0,15.2
1,Claude 3.5,Java,187.1,6.7
8,GPT-4o,Java,110.3,10.5
3,GPT-4o,Java,106.0,10.3
3,Llama 3,Java,192.3,5.3
1,Llama 3,Python,172.0,1.5
5,GPT-4o,Python,113.4,11.0
10,GPT-4o,Java,158.1,10.9
7,Llama 3,Python,168.3,6.4
10,Llama 3,Python,195.8,6.1
9,Llama 3,Java,224.1,5.2
7,Claude 3.5,Python,144.8,8.1
9,GPT-4o,Java,150.8,13.6
8,Llama 3,Python,166.4,5.3
2,GPT-4o,Java,149.4,7.9
1,Claude 3.5,Java,170.7,7.5
7,Claude 3.5,Java,164.6,11.8
7,Llama 3,Java,242.6,4.8
8,Claude 3.5,Python,151.7,8.9
5,GPT-4o,Java,138.1,9.0
3,Llama 3,Java,158.9,5.4
8,GPT-4o,Java,89.1,13.0
6,GPT-4o,Python,83.5,16.7
3,Claude 3.5,Java,143.7,11.2
1,Claude 3.5,Python,121.8,9.1
3,Claude 3.5,Java,155.3,10.0
5,Claude 3.5,Python,140.3,8.9
3,Claude 3.5,Python,150.1,5.3
1,Llama 3,Java,231.4,4.5
5,GPT-4o,Python,98.8,11.5
10,GPT-4o,Java,155.7,15.4
7,GPT-4o,Java,115.7,13.6
7,GPT-4o,Java,107.7,11.3
9,Claude 3.5,Python,134.5,6.7
10,GPT-4o,Python,97.0,15.9
10,Llama 3,Java,201.2,3.8
3,Llama 3,Java,201.1,5.2
7,GPT-4o,Python,101.0,13.6
1,GPT-4o,Java,108.3,13.5
4,Llama 3,Java,207.6,6.8
4,Llama 3,Java,176.5,5.4
5,Claude 3.5,Python,153.0,8.9
7,Llama 3,Python,130.2,3.8
7,Claude 3.5,Python,130.2,8.6
4,Claude 3.5,Java,134.2,8.5
7,Claude 3.5,Java,164.1,4.9
3,Claude 3.5,Java,117.8,7.3
6,Claude 3.5,Python,113.8,10.7
2,GPT-4o,Java,110.6,17.1
10,Llama 3,Java,249.4,5.4
9,Claude 3.5,Java,199.7,11.0
5,Llama 3,Java,165.9,3.5
6,Llama 3,Python,205.2,5.2
4,Claude 3.5,Python,107.2,8.0
10,GPT-4o,Java,117.1,13.0
7,Claude 3.5,Python,94.4,7.6
9,GPT-4o,Python,102.2,13.6
7,Llama 3,Java,197.8,6.8
1,GPT-4o,Java,132.5,13.1
1,GPT-4o,Python,139.3,8.5
9,GPT-4o,Java,127.4,11.1
9,Llama 3,Python,155.6,5.6
4,Llama 3,Java,208.0,6.8
9,GPT-4o,Python,102.1,11.6
